TAP;type;arath;carpa;glyma;medtr;poptr;ricco;vitvi;orysa;sorbi;zeama;selmo;phypa;volca;chlre;chlsp;micp1;micp2;ostlu;ostta;cyame;guith;auran;phatr;thaps;ectsi;phyra;physo;emihu;plafa;trycr;naegr;enthi;giala;dicdi;dicpu;monbr;enccu;batde;botci;picst;sacce;schpo;phybl;rhior;copci;lacbi;phach;gloil;caeel;drome;fugru;homsa;nemve;xentr
TAZ;TF;7;5;5;5;5;4;3;4;4;8;3;5;4;2;1;1;1;1;1;0;0;4;3;6;3;6;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;1;5;2;1;1
TCP;TF;24;21;61;13;34;21;19;22;27;54;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TEA;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;6;3;5;6;1;2
TFb2;TR;1;1;2;2;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;2;1;0;1;1;1;1;1;2
tify;TF;18;13;34;21;23;14;15;20;19;52;12;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TRAF;TR;41;27;70;27;41;27;30;123;118;69;17;34;20;28;4;3;3;2;2;2;0;5;9;9;12;10;9;150;0;1;84;0;0;20;17;4;0;6;13;1;1;3;35;15;15;10;15;40;98;170;119;130;95;92
Trihelix;TF;22;23;56;14;41;23;27;16;19;39;19;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;6;2;1;3
TUB;TF;10;6;24;15;11;7;7;14;13;21;6;6;3;2;2;1;1;1;1;0;0;2;1;2;8;8;7;7;2;0;1;0;0;0;0;1;1;3;0;0;0;0;1;1;0;0;0;1;2;3;6;6;2;5
ULT;TF;2;3;14;0;2;2;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VARL;TF;0;0;0;0;0;0;0;0;0;0;0;0;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VOZ;TF;2;2;7;1;4;2;2;2;2;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Whirly;TF;3;2;6;2;3;2;2;2;2;3;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WRKY;TF;72;49;193;72;104;57;59;103;94;159;19;37;2;1;1;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;6;3;0;0;0;1;0;0;0;0;0;0
zf_HD;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zinc finger, AN1 and A20 type;TR;11;5;20;5;18;8;8;16;15;13;6;9;2;1;1;1;0;0;0;1;0;0;0;0;2;3;1;1;4;0;2;2;0;4;5;2;1;4;1;1;2;1;5;4;1;1;2;5;3;6;7;7;5;6
Zinc finger, MIZ type;TF;5;1;10;4;6;4;9;7;4;5;2;6;2;0;1;2;1;1;1;3;0;0;2;2;2;0;2;4;2;6;1;12;4;7;13;2;0;1;2;3;3;1;4;1;1;2;1;0;8;15;10;20;3;9
Zinc finger, ZPR1;TR;2;1;3;2;1;1;2;1;1;1;1;2;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;2;2;1;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1
Zn_clus;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;28;0;0;17;0;0;74;0;0;2;2;0;0;15;103;86;53;29;56;30;41;65;34;22;0;0;0;0;0;0
